DaMNet 2016	The Sixth IEEE ICDM Workshop on Data Mining in Networks	Barcelona, Spain
DaMoN 2011	Seventh International Workshop on Data Management on New Hardware	Athens, Greece
DaMoN 2013	Ninth International Workshop on Data Management on New Hardware	New York, NY, USA
DaMoN 2014	Tenth International Workshop on Data Management on New Hardware	Snowbird, Utah, USA
DanaC 2014	Workshop on Data Analytics in the Cloud	Songbird, Utah, U.S.A
DAPHNE 2015	International Workshop on Data (Co-)Processing on Heterogeneous Hardware	Brussels, Belgium
DAPS 2016	Data mining for the Analysis of Performance and Success	Barcelona, Spain
DAPS 2017	Data mining for the Analysis of Performance and Success	New Orleans, LA, USA
DARE 2017	ECML PKDD 2017, 5th International Workshop on Data Analytics for Renewable Energy Integration	Skopje, Macedonia
DASFAA (Demo Track) 2015	The 20th International Conference on Database Systems for Advanced Applications (Demo Track)	Hanoi, Vietnam
DASFAA 2013	The 18th International Conference on Database Systems for Advanced Applications	Wuhan, China
DASFAA 2017	The 22nd International Conference on Database Systems for Advanced Applications	Suzhou
DATA 2012	International Conference on Data Technologies and Applications	Rome, Italy
DATA 2014	Int'l Conf. on Data Management Technologies and Applications	Vienna, Austria
DATA 2017	6th International Conference on Data Science, Technology and Applications	Madrid, Spain
data-driven 2017	Special Issue on “Data-Driven User Behavioral Modeling: From Real-World Behavior to Knowledge, Algorithms, and Systems”	N/A
DATA STREAMS TRACK 2017	DATA STREAMS TRACK - ACM SAC 2017	Marrakech, Morocco
DAVA 2016	2nd International Workshop on DAta mining meets Visual Analytics at big data era In Conjunction with CIKM 2016	Indianapolis, IN, USA
DaWaK 2011	13th International Conference on Data Warehousing and Knowledge Discovery	Toulouse, France
DaWaK 2012	14th International Conference on Data Warehousing and Knowledge Discovery	Vienna, Austria
DaWaK 2013	15th International Conference on Data Warehousing and Knowledge Discovery	Prague, Czech Republic
DaWaK 2014	16th International Conference on Data Warehousing and Knowledge Discovery	Munich, Germany
DaWaK 2015	17th International Conference on Big Data Analytics and Knowledge Discovery - DaWaK 2015	Valencia, Spain
DaWaK 2017	19th International Conference on Big Data Analytics and Knowledge Discovery	Lyon, France
DBCrowd 2013	First VLDB Workshop on Databases and Crowdsourcing	Riva del Garda, Italy
DBDBD 2011	The Dutch Belgian Database Day	University of Twente, The Netherlands
DBDBD 2012	The Dutch Belgian Database Day	Brussels, Belgium
DBDBD 2013	The Dutch Belgian Database Day	Rotterdam, Netherlands
DBDBD 2014	The Dutch-Belgian Database Day 2014	Antwerp, Belgium
DBKDA 2012	The Fourth International Conference on Advances in Databases, Knowledge, and Data Applications	Reunion Island
DBLM 2011	International Workshop on Database Technology for Life Sciences and Medicine	Toulouse, France
DBLM 2012	International Workshop on Database Technology for Life Sciences and Medicine	Vienna, Austria
DBPL 2011	The 13th International Symposium on Database Programming Languages	Seattle, WA, USA
DBPL 2013	14th International Symposium on Database Programming Languages	Trento, Italy
DBRank 2011	Fifth International Workshop on Ranking in Databases In Conjunction with VLDB 2011	Seattle, WA, USA
DBRank 2012	Sixth International Workshop on Ranking in Databases	Istanbul, Turkey
DBSocial 2011	ACM SIGMOD Workshop on Databases and Social Networks	Athens, Greece
DBSocial 2012	Second ACM SIGMOD Workshop on Databases and Social Networks	Scottsdale, AZ, United States
DBSocial 2013	ACM SIGMOD Workshop on Databases and Social Networks (DBSocial) 2013	New York, NY, USA
DBTest 2011	4th International Workshop on Testing Database Systems	Athens, Greece
DBTest 2012	Fifth International Workshop on Testing Database Systems	Scottsdale, Arizona, USA
DC @ Baltic DB&IS 2014	Call for PhD Consortium - 11th International Baltic Conference on DB and IS, DB&IS2014 / June 9, 2014, Tallinn, ESTONIA	Tallinn, Estonia
DCAI 2017	14th International Conference on Distributed Computing and Artificial Intelligence	Porto, Portugal
DCAI 2018	15th International Conference on Distributed Computing and Artificial Intelligence	Toledo (Spain)
DCIRS - 2017	The Second International Workshop on Database and Computerized Information Retrieval Systems	Trieste, Italy
D-CLOUD 2011	The 2011 International Workshop on Data Cloud	Hong Kong
DCNET 2012	International Conference on Data Communication Networking (DCNET)	Rome, Italy
DDDM 2011	The 5th International Workshop on Domain Driven Data Mining	Vancouver, Canada
DDGD 2017	First Interantional Workshop on Data-Driven Gamification Design	Tampere, Finland
DEAs 2017	Data Enabled Applications 2017	Universiti Teknologi Brunei
DEBS 2017	11th ACM International Conference on Distributed and Event‐based Systems	Barcelona, Spain
DEOS 2013	Workshop on Data Extraction and Object Search	Oxford, United Kingdom
DEOS 2014	4th Workshop on Data Extraction and Object Search	Seoul, South Korea
DEW 2017	Data Exploration in the Web 3.0 Age (IEEE WETICE 2017 track)	Poznan, Poland
DEXA 2011	Database and Expert Systems Applications	Toulouse, France
DEXA 2013	24th International Conference on Database and Expert Systems Applications	Prague, Czech Republic
DILS 2013	The Ninth International Conference on Data Integration in the Life Sciences 2013	Montreal, Quebec, Canada
DILS 2014	10th International Conference on Data Integration in the Life Sciences	Lisbon, Portugal
DILS 2017	12th International Conference on Data Integration in Life Science	Luxembourg
DIM 2012	IEEE International Workshop on Data Integration and Mining	Las Vegas, NV , USA
DIM 2013	The Second IEEE International Workshop on Data Integration and Mining	San Francisco, CA, USA
DIM 2016	The Fifth IEEE International Workshop on Data Integration and Mining	Pittsburgh
DIM 2017	Extended: The Six IEEE International Workshop on Data Integration and Mining	San Diego, CA, USA
DIPDMWC 2016	The Third International Conference on Digital Information Processing, Data Mining, and Wireless Communications	Moscow, Russia
DIPDMWC 2017	The Fourth International Conference on Digital Information Processing, Data Mining and Wireless Communication (DIPDMWC2017)	Universitas Mercu Buana - Meruya Campus
DiPP 2013	International Conference on Digital Presentation and Preservation of Cultural and Scientific Heritage	Veliko Tarnovo, Bulgaria
DKMP 2017	Fifth International Conference on Data Mining & Knowledge Management Process	Dubai, UAE
DLRS 2016	Deep Learning for Recommender Systems	Boston, MA, USA
DM_FLAIRS 2018	FLAIRS-2018 Special Track on Data Mining	Melbourne, FL, USA
DM4OG 2017	﻿Workshop on Data Mining for Oil & Gas	Texas, USA
DMA 2017	Third International Conference on Data Mining and Applications	Geneva, Switzerland
DMAP 2016	Second International Conference on Data Mining and Applications	Vienna, Austria
DMAP 2017	3rd International Conference on Data Mining and Applications	Dubai, UAE
DMBD 2017	DMBD'2017：Call for Papers (Jan. 30, 2017)	Fukuoka, Japan
DMC 2012	The 1st International Workshop on Data Management in the Cloud	Washington DC, USA
DMC 2013 at BTW 2013	1st Workshop on Data Management in the Cloud	Magdeburg, Germany
DMC 2014	International Workshop on Data Management in the Cloud	Chicago, IL, United States of America
DMCIT 2018	2018 2nd International Conference On Data Mining, Communications And Information Technology (DMCIT 2018)	Shanghai, China
DMCS 2017	DMCS - Data Mining for Cyber Security 2017 (collocated with IEEE ICDM'17)	New Orleans, LA, USA
DMDB 2017	4th International Conference on Data Mining and Database	Vienna, Austria
DMDE 2016	Special Issue on Data Mining and its Applications in Digital Ecosystems	N/A
DMIoT 2016	The First Workshop on Data Mining for Internet of Things (DMIoT 2016) held in conjunction with the IEEE International Conference on Data Mining series (ICDM)	Barcelona, Spain
DMIP 2017	The 1st ICDM Workshop on Data Mining in Practice: Automation and Cost	New Orleans, LA, USA
dmmooc 2017	The First International Workshop on Data Management and Mining on MOOCs	Suzhou
DMS 2013	Fifth International conference on Database Management Systems	Zurich, Switzerland
DMS 2016	IEEE International Workshop on Data Mining for Service	Barcelona, Spain
DMS 2017	Eighth International Conference on Database Management Systems	Sydney, Australia
DMS 2018	9th International Conference on Database Management Systems	Dubai, UAE
DNIS 2011	7th International Workshop on Databases in Networked Information Systems	Aizu-Wakamatsu, Japan
DNIS 2013	8th International Workshop on Databases in Networked Information Systems	University of Aizu, Aizu-Wakamatsu, Japan
DNIS 2014	9th International Workshop on Databases in Networked Information Systems	University of Aizu, Aizu-Wakamatsu, Japan
DocEng 2011	ACM Symposium on Document Engineering	Mountain View, CA, USA
DOLAP 2011	Fourteenth International Workshop on Data Warehousing and Olap	Glasgow, Scotland, UK
DOLAP 2013	16th International Workshop on Data Warehousing and OLAP	Burlingame, CA, USA
DRCN 2018	14th International Conference on the Design of Reliable Communication Networks (DRCN 2018)	Orange Gardens, Paris area, France
DRIJ 2017	Dental Research: An International Journal	N/A
Drone Surveillance 2017	IEEE Communications Magazine Feature Topic on Amateur Drone Surveillance: Applications, Architectures, Enabling Technologies, and Public Safety Issues	N/A
DS 2016	19th International Conference on Discovery Science	Bari, Italy
DS 2017	The 20th International Conference on Discovery Science	Kyoto, Japan
DSA 2018	The Frontiers in Intelligent Data and Signal Analysis DSA 2018	New York
DSAA 2015	IEEE International Conference on Data Science and Advanced Analytics (DSAA 2015)	Paris, France
DSAA 2016	IEEE DSAA: Third International Conference on Data Science and Advanced Analytics	Montreal, Canada
DSAA 2017	The 4th IEEE International Conference on Data Science and Advanced Analytics 2017	Tokyo, Japan
DSBDA 2016	The Fourth ICDM Workshop on Data Science and Big Data Analytics	Barcelona, Spain
DSCI 2017	CFP deadline Apr 28 23:59 GMT, Data Science and Computational Intelligence@San Francisco, USA	San Francisco, CA, USA
DSCI 2018	Special Session on Data Science and Computational Intelligence (at The 10th Asian Conference on Intelligent Information and Database Systems)	Dong Hoi City, Vietnam
DSHCM 2017	Final Call for Papers - The 1st International Workshop on Data Science for Human Capital Management (collocated with IEEE ICDM'17)	New Orleans, LA, USA
DSMM 2014	Workshop on Data Science for Macro-Modeling	Snowbird, Utah, USA
DSS 2016	2nd International Workshop on Data-driven Self-regulating Systems	Augsburg, Germany
DSSD 2017	Data Science in Societal Debates	Tokyo, Japan
DT 2017	Deduktionstreffen 2017	Dortmund, Germany
DTMN 2017	3rd International Conference on Data Mining	Dubai, UAE
DTWSM 2017	The 4th International Workshop on Data, Text, Web, and Social Network Mining	Helsinki, Finland
DX 2017	28th International Workshop on Principles of Diagnosis	Brescia, Italy
DyNetMM 2013	First SIGMOD/PODS Workshop on Dynamic Networks Management and Mining	New York, NY, USA
EACL SRW 2017	EACL 2017 Student Research Workshop	Valencia
EAIS 2018	Evolving and Adaptive Intelligent Systems 2018	island of Rhodes GREECE
EANN 2016	17th International Conference on Engineering Applications of Neural Networks	Aberdeen, Scotland
EANN 2017	18th Engineering Applications of Neural Networks 2017	Athens, Greece
EASL 2017	EACL 2017 Workshop on Symbolic and Deep Learning Approaches to the Analysis of Evaluative, Affective, and Subjective Language (EASL 2017)	Valencia, Spain
EAST - FLAIRS 2017	lEArning from heterogeneouS data analyTics - FLAIRS	Marco Island, FL, USA
ECAI AIL 2012	Workshop on Active and Incremental Learning	Montpellier, France
ECCV 2018	European Conference on Computer Vision	Munich, Germany
ECDM 2012	Sixth International Workshop On Evolution And Change In Data Management	Florence, Italy
ECDMO - Ei & Scopus 2018	2018 2nd European Conference on Design, Modeling and Optimization (ECDMO 2018)--EI Compendex, Scopus	Krakow, Poland
ECML-PKDD 2016	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery	Riva del Garda
ECML-PKDD 2017	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery	Skopje, Macedonia
ECSA 2016	3rd International Electronic Conference on Sensors and Applications - Smart Systems and Structures	Online
EDB 2011	The Third International Conference on Emerging Databases - Technologies, Applications and Theory	Incheon, Korea
EDB 2012	The fourth International Conference on Emerging Databases - Technologies, Applications, and Theory	Seoul, South Korea
EDBT/ICDT Tutorials 2014	EDBT/ICDT 2014 Call for Tutorials	Athens, Greece
EDBT/ICDT Workshops 2014	EDBT/ICDT 2014 Call for Workshop Proposals	Athens, Greece
EDBT 2013	International Conference on Extending Database Technology	Genoa, Italy
EDBT 2014	International Conference on Extending Database Technology	Athens, Greece
EDBT 2018	21st International Conference on Extending Database Technology	Vienna, Austria
EDC 2018	13th Annual Education and Development Conference	Bangkok, Thailand
EdRecSys 2016	International Workshop on Educational Recommender Systems	Omaha, USA
EEML 2016	Third International Workshop on Experimental Economics and Machine Learning	Moscow, Russia
EEML 2017	Fourth International Workshop on Experimental Economics and Machine Learning	Dresden
EGR 2017	Call for Proposals: LinkedIn Economic Graph Research	N/A
EI--AIACT 2017	2017 International Conference on Artificial Intelligence, Automation and Control Technologies--Ei & SCOPUS	Wuhan, China
EI-CCEAI 2018	EI/SCOPUS-2018 2nd International Conference on Control Engineering and Artificial Intelligence (CCEAI 2018)	Boracay, Philipines
EI--CMVIT 2018	2018 2nd International Conference on Machine Vision and Information Technology (CMVIT 2018)	Hong Kong
EiDMKD 2018	2018 International Conference on Data Mining and Knowledge Discovery(DMKD 2018)	Beijing, China
EIDSS 2017	Exploring Intelligent Decision Support Systems: Current State and New Trends	N/A
Ei - ICBCT 2018	2018 2nd International Conference on Bioinformatics and Computing Technologies (ICBCT 2018)--Ei Compendex	Hanoi, Vietnam
Ei - ICBDA - IEEE 2018	2018 IEEE 3rd International Conference on Big Data Analysis (ICBDA 2018)--IEEE Xplore and Ei Compendex	Shanghai, China
Ei - ICBDSC 2018	2018 International Conference on Big Data and Smart Computing (ICBDSC 2018)--Ei Compendex, Scopus	Casablanca, Morocco
Ei - ICCAE 2018	2018 10th International Conference on Computer and Automation Engineering (ICCAE 2018)--Ei Compendex and Scopus	Brisbane, Australia
Ei - ICSCA - ACM 2018	ACM--2018 7th International Conference on Software and Computer Applications (ICSCA 2018)--Ei Compendex, Scopus and ISI	Kuantan, Malaysia
Ei - ICVARS 2018	2018 2nd International Conference on Virtual and Augmented Reality Simulations (ICVARS 2018)--Ei & Scopus	Brisbane, Australia
EI-KDD 2016	KDD 2016 Workshop on Enterprise Intelligence	San Francisco, CA, USA
Electronic Imaging 2017	IS&T International Symposium on Electronic Imaging 2017	Burlingame, CA, USA
ELELIJ 2017	Electrical and Electronics Engineering: An International Journal	N/A
Embedded/Mobile DL Wkshp 2017	1st International Workshop on Embedded and Mobile Deep Learning (co-located with ACM MobiSys 2017)	NIAGARA FALLS, NY USA
Emerging trends in ML@ESANN 2018	Special Session - Emerging trends in machine learning: beyond conventional methods and data	Bruges, Belgium
EMNLP 2017	Empirical Methods in Natural Language Processing	Copenhagen, Denmark
EmotionAware 2018	2nd International Workshop on Emotion Awareness for Pervasive Computing with Mobile and Wearable Devices	Athens, Greece
EMSA 2018	7th International Conference on Embedded Systems and Applications	Melbourne, Australia
EnCHIReS 2017	2nd ACM EICS Workshop on Engineering Computer-Human Interaction in Recommender Systems	Lisbon, Portugal
EnDM@EDBT 2013	Workshop on Energy Data Management	Genoa, Italy
EnDM 2013	Workshop on Energy Data Management at EDBT	Genoa, Italy
EnDM 2014	3rd International Workshop on Energy Data Management	Athens, Greece
EnGeoData@DSAA 2017	Special Session EnGeoData - Environmental and Geo-spatial Data Analytics - DSAA'2017	Tokyo, Japan
EnGeoData 2016	Environmental and Geo-spatial Data Analytics - Special Session, DSAA	Montreal, Canada
EnGeoData - JDSA 2017	Special Issue on Environmental and Geospatial Data Analytics - International Journal of Data Science and Analytics, Springer	N/A
EnviroInfo 2014	28th International Conference on Informatics for Environmental Protection	Oldenburg, Lower Saxony, Germany
EPIA 2017	EPIA Conference on Artificial Intelligence -- Journal Track	Porto
ER 2016	Call for Papers: ER 2016 - The 35th International Conference on Conceptual Modeling	Gifu, Japan
ESAIR 2015	8th Workshop on Exploiting Semantic Annotations for Information Retrieval	Melbourne, Australia
ESANN 2017	25th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning	Bruges, Belgium
ESIJ 2017	Earth Sciences: an International Journal	N/A
ESWC 2017	14th Extended Semantic Web Conference	Portoroz, Slovenia
EuroGP 2017	20th European Conference on Genetic Programming	Amsterdam, Netherland
EvoMUSART 2017	6th International Conference on Computational Intelligence in Music, Sound, Art and Design	Amsterdam, Netherland
EvoNets@DSAA 2017	Special Session on on Evolving Networks - DSAA'2017	Tokyo, Japan
EWRL 2016	The 13th European Workshop on Reinforcement Learning	Barcelona, Spain
ExData CiSE 2014	Special Issue on Extreme Data, Computing inScience & Engineering	N/A
EXPLORE 2017	EXPLORE 2017 @ AAMAS 2017: The 4th Workshop on Exploring Beyond the Worst Case in Computational Social Choice	Sao Paulo, Brazil
exploreWeb 2011	First International Workshop on Search, Exploration and Navigation of Web Data Sources	Paphos, Cyprus
FADS 2017	International Conference on the Frontiers and Advances in Data Science	Xi'an, China
Fashion-ML-KDD 2017	Machine Learning Meets Fashion	Halifax, Nova Scotia, Canada
FASOMA 2017	Special Session on Foundations and Applications of Social Media Analysis	Naples, Italy
FAT* 2018	2018 Conference on Fairness, Accountability, and Transparency	New York City, USA
FDM 2017	Digital processes and information systems in research data management	Chemnitz
FDML 2011	International Symposium on Foundations of Data Mining and Learning	Kaohsiung, Taiwan
FDSE 2014	The 1st International Conference on Future Data and Security Engineering 2014	Ho Chi Minh City, Vietnam
FedCSIS 2017	2017 Federated Conference on Computer Science and Information Systems	Prague, Czech Republic
FICC 2018	The FICC 2018 at Singapore, Paper Submission Due: August 1st 2017	Singapore
FiCloud 2017	Call for Workshops in The 5th International Conference on Future Internet of Things and Cloud	Prague, Czech Republic
FILM 2016	Future of Interactive Learning Machines Workshop @ NIPS 2016	Barcelona, Spain
FLAIRS 2017	FLAIRS-30: Special Track in Data Mining	Marco Island, FL, USA
FlashDB 2012	The Second International Workshop on Flash-based Database Systems	Busan, South Korea
FMBBS 2016	IEEE BIBM Workshop on Formal Methods for Biological and Biomedical Systems	Shenzhen, China
FoIKS 2014	Eighth International Symposium on Foundations of Information and Knowledge Systems	Bordeaux, France
FoIKS 2018	10th International Symposium on Foundations of Information and Knowledge Systems	Budapest, Hungary
frontiersQS 2016	New Frontiers of Quantified Self 2 Workshop @ UbiComp '16	Heidelberg
FSAG@FUZZ-IEEE 2017	Special Session on Fuzzy Set Approaches to Geosciences	Naples, Italy
FTC 2017	FTC 2017 - Future Technologies Conference 2017	Vancouver, Canada
FUSION 2017	20th International Conference on Information Fusion	Xi'an, China
Game Data Science 2017	Special Session on Game Data Science at IEEE DSAA2017	Tokyo
GCAI 2016	GCAI 2016, CfP, 2nd Global Conference on Artificial Intelligence, Berlin, Germany, 29th September - 2nd October 2016	Berlin, Germany
GCAI 2017	The 3rd Global Conference on Artificial Intelligence (GCAI 2017), Miami, USA, 18-22 October 2017	Miami, USA
GDM 2012	The 3rd International Workshop on Graph Data Management: Techniques and Applications	Washington DC, USA
GDM 2013	The 4th International Workshop on Graph Data Management: Techniques and Applications	Brisbane, Australia
GDM 2014	The 3rd International Workshop on Graph Data Management: Techniques and Applications	Chicago, IL, USA
GDM book 2017	Data Analytics Applications in Gaming and Entertainment	N/A
GECCO 2017	Genetic and Evolutionary Computation Conference	Berlin, Germany
GECCO 2018	Genetic and Evolutionary Computation Conference	Kyoto, Japan
GECCOsws 2017	GECCO Student Workshop	Berlin, Germany
GeoDBIS 2011	1st International Workshop on Geometric Objects in Databases and Information Systems	Vienna, Austria
GeoRich @ ACM SIGMOD/PODS 2017	GeoRich 2017 - ACM SIGMOD Workshop on Managing and Mining Enriched Geo-Spatial Data	Raleigh, NC, USA
GeoRich 2017	GeoRich@SIGMOD/PODS 2017: Submission Deadline Extended to March 5	N/A
GID 2011	First ADBIS workshop on GPUs In Databases	Vienna, Austria
GID 2014	ADBIS Workshop on GPUs In Databases	Ohrid, Republic of Macedonia
GID 2015	ADBIS Workshop on GPUs In Databases	Poitiers, France
GISCUP 2017	The 6th GIS-focused algorithm competition, GISCUP 2017	Los Angeles, CA, USA
GlobalSIP 2017	2017 5th IEEE Global Conference on Signal and Information Processing	Montreal, Canada
Globe 2011	4th International Conference on Data Management in Grid and P2P Systems	Toulouse, France
GOODTECHS 2016	Special Track on Open Challanges in Online Social Networks@GOODTECHS 2016	Venice
GRADES 2013	Graph Data-management Experiences and Systems	New York, NY, USA
GRADES 2014	Graph Data-management Experiences and Systems	Snowbird, Utah, USA
GRAIL 2017	1st International Workshop on Graphs in Biomedical Image Analysis	Quebec City
GraphQ 2013	The Second International Workshop on Querying Graph Structured Data	Genoa, Italy
GraphQ 2014	The Third International Workshop on Querying Graph Structured Data	Athens, Greece
Graph-TA 2014	Workshop on Graph-based Technologies and Applications	Barcelona, Spain
GreenCom 2016	The 12th IEEE International Conference on Green Computing and Communications	Chengdu, Sichuan, China
GTM 2017	7th Global TechMining Conference	Atlanta, GA, USA
GvDB 2016	27.GI-Workshop - Grundlagen von Datenbanken	Nörten-Hardenberg, Germany
HAIS 2017	The 12th International Conference on Hybrid Artificial Intelligence Systems	Logroño (La Rioja) Spain
HardBD 2014	The Second International Workshop on Big Data Management on Emerging Hardware	Macau, China
HDMM 2017	2nd International Workshop on Health Data Management and Mining (HDMM) 2017	San Diego, CA, USA
HDMS 2011	10th Hellenic Data Management Symposium	Athens, Greece
HDMS 2012	2012 The Hellenic Data Management Symposium	Chania, Crete, Greece
HealTech 2017	HealTech: Healthcare Technology Trends	Nice, France
HeteroNAM 2018	International Workshop on Heterogeneous Networks Analysis and Mining	Los Angeles, CA, USA
HFR 2017	10th International Workshop on Human-Friendy Robotics (Springer SPAR Proceedings)	Napoli, Italy
HighStream@ICDM 2017	1st High-Performance Data Stream Mining Workshop at International Conference on Data Mining (ICDM'2017)	New Orleans, LA, USA
HIS 2012	The 1st International Conference on Health Information Science	Beijing, China
HPCAC 2016	5th Annual Spain Conference 2016	Leon Spain
HPCDB 2011	1st Workshop on High Performance Computing Meets Databases	Seattle, WA, USA
HPGDML 2017	High Performance Graph Data Mining and Machine Learning Workshop	New Orleans, LA, USA
HSI 2017	The 10th International Conference on Human System Interaction	Ulsan, Korea
IALP 2017	The 21th International Conference on Asian Language Processing	Singapore
IASIM 2012	Special Session on Intelligent Agents & Simulation	Rome, Italy
ICAART 2018	10th International Conference on Agents and Artificial Intelligence	Funchal, Madeira, Portugal
ICACCP 2017	IEEE International Conference on Advanced Computational and Communication Paradigms	Gangtok, Sikkim, India
ICACNI 2017	5th International Conference on Advanced Computing, Networking, and Informatics (proceedings by Springer)	Goa, India
ICACR--Ei and Scopus 2017	2017 International Conference on Automation, Control and Robotics (ICACR 2017)--Ei Compendex and Scopus	Wuhan, China
ICACS - EI 2017	2017 International Conference on Algorithms, Computing and Systems (ICACS 2017)--Ei Compendex and Scopus	Jeju Island, South Korea
ICACSIS 2016	ICACSIS 2016 : 8th International Conference of Advanced Computer Science and Information Systems	Malang, Indonesia
ICACSIS 2017	9th International Conference on Advanced Computer Science and Information Systems	Bali, Indonesia
ICAIL 2017	16th International Conference on Artificial Intelligence and Law	London, UK
ICAIR 2017	2017 2nd International Conference on Artificial Intelligence and Robotics (ICAIR 2017)	Prague, Czech Republic
ICAISC 2017	International Conference on Artificial Intelligence and Soft Computing	Zakopane, Poland
ICAISC 2018	International Conference on Artificial Intelligence and Soft Computing	Zakopane, Poland
ICAISE--IEEE, EI and Scopus 2018	2018 International Conference on Artificial Intelligence and Software Engineering (ICAISE 2018)--IEEE, EI Compendex and Scopus	Chengdu, China
ICAITA 2017	6th International Conference on Advanced Information Technologies and Applications	Sydney, Australia
ICAMS 2018	2018 5th International Conference on Advances and Management Sciences (ICAMS 2018)	Torino, Italy
ICANN 2017	International Conference on Artificial Neural Networks 2017	Alghero, Sardinia, Italy
ICAPM - Scopus, EI 2018	2018 8th International Conference on Applied Physics and Mathematics (ICAPM 2018)--Scopus, EI Compendex and ISI	Phuket Island, Thailand
ICBBB - Ei 2018	2018 8th International Conference on Bioscience, Biochemistry and Bioinformatics (ICBBB 2018)--Ei Compendex, Scopus and ISI	Tokyo, Japan
ICBBE - Ei 2017	2017 4th International Conference on Biomedical and Bioinformatics Engineering (ICBBE 2017) - ACM and Ei Compendex	Seoul, South Korea
ICBBT- Ei 2017	2017 9th International Conference on Bioinformatics and Biomedical Technology (ICBBT 2017)--Ei Compendex and Scopus	Lisbon, Portugal
ICBCB 2018--Ei, Scopus 2018	2018 6th International Conference on Bioinformatics and Computational Biology (ICBCB 2018)--Ei Compendex, Scopus and ISI	Chengdu, China
ICBDC--Ei and Scopus 2018	2018 International Conference on Big Data and Computing (ICBDC 2018)--Ei Compendex and Scopus	Shenzhen, China
ICBDE--EI and Scopus 2018	2018 International Conference on Big Data and Education (ICBDE 2018)--EI Compendex and Scopus	Honolulu, HI, USA
ICBDM - Ei 2018	2018 International Conference on Big Data Management (ICBDM 2018)--ACM, Ei Compendex and Scopus	Macau, China
ICBDT--EI, Scopus 2018	2018 International Conference on Big Data Technologies (ICBDT 2018)--EI Compendex and Scopus	Hangzhou, China
ICBDT--EI Compendex, Scopus 2018	2018 International Conference on Big Data Technologies (ICBDT 2018)--EI Compendex and Scopus	Hangzhou, China
ICBEA 2017	2017 International Conference on Biometrics Engineering and Application (ICBEA 2017)--Ei Compendex and Scopus	Hong Kong
ICBEA--Ei 2017	2017 International Conference on Biometrics Engineering and Application (ICBEA 2017)--Ei Compendex and Scopus	Hong Kong
ICBEB 2017	2017 International Conference on Biomedical Engineering and Bioinformatics (ICBEB 2017)--CPCI, Ei Compendex and Scopus	Bangkok, Thailand
ICBEF 2017	2017 International Conference on Biometric Engineering and Forensics (ICBEF 2017)-Ei Compendex, Scopus and ISI	Seoul, South Korea
ICBNA 2016	The 3rd International Conference on Bayesian Networks and Applications	Tunisia
ICBRA - Ei 2017	2017 International Conference on Bioinformatics Research and Applications (ICBRA 2017)--Ei Compendex, Scopus and ISI	Barcelona, Spain
ICBSB - Ei 2017	2017 2nd International Conference on Biomedical Signal and Bioinformatics (ICBSB 2017)--Ei Compendex and Scopus	AUT University, Auckland, New Zealand
ICCAC DS 2017	International Conference on Cloud and Autonomic Computing (ICCAC) Doctoral Symposium	Tucson, AZ
ICCAI 2018--ACM, Ei, Scopus 2018	ACM--2018 International Conference on Computing and Artificial Intelligence (ICCAI 2018)--Ei Compendex and Scopus	Chengdu, China
ICCAIRO 2017	International Symposium on Hybrid Intelligent Techniques for Information and Image Retrieval	Prague, Czech Republic
ICCASA 2017	6th EAI International Conference on Context-Aware Systems and Applications	Tam Ky City, Vietnam
ICCBB 2017	2017 International Conference on Computational Biology and Bioinformatics (ICCBB 2017)--Ei Compendex, Scopus and CPCI	New Jersey, USA
ICCBB - Ei 2017	2017 International Conference on Computational Biology and Bioinformatics (ICCBB 2017)--Ei Compendex, Scopus and CPCI	New Jersey, USA
ICCBDC 2017	International Conference on Cloud and Big Data Computing (ICCBDC 2017)	London, UK
ICCBDC - ACM 2017	International Conference on Cloud and Big Data Computing (ICCBDC 2017)--Ei Compendex and Scopus	London, UK
ICCBR 2017	International Conference on Case-Based Reasoning	Trondheim, Norway
ICCBR 2018	International Conference on Case-Based Reasoning	Stockholm, Sweden
ICCCBDA--Ei and Scopus 2018	2018 the 3rd IEEE International Conference on Cloud Computing and Big Data Analysis (ICCCBDA 2018)--Ei Compendex and Scopus	Chengdu, China
ICCCB - Ei 2017	2017 International Conference on Computational Chemistry and Biology (ICCCB 2017)--EI Compendex, Scopus	Barcelona, Spain
ICCCS--Ei and Scopus 2018	2018 3rd International Conference on Computer and Communication Systems (ICCCS 2018)--Ei Compendex and Scopus	Nagoya, Japan
ICCDA - ACM 2017	2017 International Conference on Compute and Data Analysis (ICCDA 2017)—SCOPUS & Ei Compendex	Lakeland, Florida, USA
ICCDA-Ei 2017	2017 International Conference on Compute and Data Analysis (ICCDA 2017)—SCOPUS & Ei Compendex	Lakeland, Florida, USA
ICCDE--Ei and Scopus 2018	ACM - 2018 International Conference on Computing and Data Engineering (ICCDE 2018)--Ei Compendex and Scopus	Shanghai, China
ICCIA 2017	2017 the 2nd IEEE International Conference on Computational Intelligence and Applications	Beijing, China
ICCIDE 2017	International Conference on Computational Intelligence & Data Engineering	Vijayawada, India
ICCIDM 2014	International Conference on Computational Intelligence in Data Mining, Springer	Odisha, India
ICCIDS 2017	IEEE International Conference on Computational Intelligence in Data Science	Chennai, India
